id,original,translation
606,Black Steel Pipe SCh.40 GR.B Seamless,黑钢管 Sch.40 GR.B 无缝
607,ห้ามแทรกบันทัด กรณีไม่พอให้ใปใส่ใน หมวด H4,禁止插入行 如空间不足请填入 H4 类
608,Valve and Control Valve Class 175,阀门及控制阀 Class 175
609,O.S. & Y Gate Valve 175 Psi,闸阀
610,Alarm Valve (Wet Type) and accessories,报警阀（湿式）及配件
611,Sprinkler Head,洒水喷头
612,"Upright Head, K = 242, Temp = 79 oC        (Include spare 25 set)",直立喷头 K=242 温度79°C（含备件25个）
613,"Upright Head, K = 80.6, Temp = 79 oC       (Include spare 25 set)",直立喷头 K=80.6 温度79°C（含备件25个）
614,Fire Department Connection,消防车连接器
615,"Flexible Connector (SUS), Length = 30 cm",柔性连接器（不锈钢）长度=30厘米
616,Indoor Fire Hose Cabinet /w pressure restricted valve,室内消防栓箱 带限压阀
617,Dry Chemical Portable Fire Extinguisher @4.5 kG,干粉手提式灭火器 @4.5公斤
618,CO2 Portable Fire Extinguisher @4.5 kG,CO2手提式灭火器 @4.5公斤
619,Test Drain Station,试水排水站
620,"Pressure Gauge size 4"" DIA with needle valve",压力表 4英寸表盘 带针形阀
621,Ball Valve     15 mm Ø,球阀 15毫米
622,Gate Valve    25 mm Ø,闸阀
623,Sight Glass    25 mm Ø,视镜
624,"Flange, Bolt,Nut and Gasket",法兰、螺栓、螺母及垫片
625,"Wiring & Conduit ( alarm ,supervisoey switch F/A Panel) by Electrical Works",接线及线管（报警、监视开关至火灾报警面板）由电气工程负责
626,Sub Total H3,小计 H3
627,X-Lift Rental,X-Lift 租赁
628,Sub Total H4,小计 H4
